Nico Rosberg,Super soft (12),Soft (6),Medium (39),
Lewis Hamilton,Super soft (16),Medium (41),,
Sebastian Vettel,Super soft (13),Super soft (22),Soft (22),
Daniel Ricciardo,Super soft (12),Super soft (6),Soft (24),Super soft (15)
Felipe Massa,Super soft (11),Soft (7),Medium (39),
Romain Grosjean,Soft (18),Medium (39),,
Nico Hulkenberg,Soft (16),Medium (41),,
Valtteri Bottas,Soft (17),Medium (40),,
Carlos Sainz Jnr,Super soft (8),Soft (10),Soft (13),Medium (26)
Max Verstappen,Super soft (13),Soft (5),Soft (14),Medium (25)
Jolyon Palmer,Super soft (12),Soft (6),Medium (39),
Kevin Magnussen,Super soft (1),Soft (17),Medium (39),
Sergio Perez,Soft (16),Medium (41),,
Jenson Button,Soft (15),Soft (3),Super soft (12),Medium (26)
Felipe Nasr,Super soft (10),Soft (8),Medium (38),
Pascal Wehrlein,Super soft (11),Soft (7),Soft (14),Medium (24)
Marcus Ericsson,Super soft (11),Soft (7),Medium (20),
Kimi Raikkonen,Super soft (16),Super soft (5),,
Rio Haryanto,Super soft (12),Soft (5),,
Esteban Gutierrez,Soft (16),,,
Fernando Alonso,Super soft (12),Soft (4),,
