Valtteri Bottas,Ultra soft (21),Super soft (34),,
Lewis Hamilton,Ultra soft (24),Super soft (31),,
Sebastian Vettel,Ultra soft (20),Super soft (35),,
Kimi Raikkonen,Ultra soft (15),Super soft (40),,
Max Verstappen,Ultra soft (14),Super soft (41),,
Nico Hulkenberg,Ultra soft (17),Super soft (38),,
Sergio Perez,Ultra soft (16),Super soft (39),,
Esteban Ocon,Ultra soft (31),Super soft (24),,
Fernando Alonso,Ultra soft (21),Super soft (33),,
Felipe Massa,Ultra soft (22),Super soft (32),,
Romain Grosjean,Ultra soft (32),Super soft (22),,
Stoffel Vandoorne,Ultra soft (12),Super soft (42),,
Kevin Magnussen,Ultra soft (22),Super soft (32),,
Pascal Wehrlein,Super soft (28),Ultra soft (26),,
Brendon Hartley,Super soft (26),Ultra soft (28),,
Pierre Gasly,Ultra soft (30),Super soft (24),,
Marcus Ericsson,Super soft (30),Ultra soft (24),,
Lance Stroll,Ultra soft (11),Super soft (18),Ultra soft (6),Ultra soft (19)
Carlos Sainz Jnr,Ultra soft (31),Super soft (0),,
Daniel Ricciardo,Ultra soft (19),Super soft (1),,
