Lewis Hamilton,Ultra soft (19),Soft (37),
Sebastian Vettel,Ultra soft (16),Soft (22),Super soft (18)
Kimi Raikkonen,Ultra soft (20),Soft (36),
Max Verstappen,Super soft (24),Soft (13),Super soft (19)
Valtteri Bottas,Ultra soft (18),Soft (34),Ultra soft (4)
Esteban Ocon,Ultra soft (14),Soft (42),
Carlos Sainz Jnr,Ultra soft (19),Soft (37),
Sergio Perez,Ultra soft (12),Soft (43),
Felipe Massa,Super soft (29),Ultra soft (26),
Daniil Kvyat,Ultra soft (17),Soft (38),
Lance Stroll,Super soft (10),Soft (26),Ultra soft (19)
Stoffel Vandoorne,Super soft (25),Ultra soft (30),
Brendon Hartley,Ultra soft (8),Super soft (27),Super soft (20)
Romain Grosjean,Ultra soft (16),Soft (39),
Marcus Ericsson,Super soft (21),Soft (34),
Kevin Magnussen,Super soft (1),Soft (48),Ultra soft (6)
Fernando Alonso,Ultra soft (14),Soft (10),
Daniel Ricciardo,Ultra soft (12),Super soft (2),
Pascal Wehrlein,Soft (3),Soft (2),
Nico Hulkenberg,Ultra soft (3),,
