Sebastian Vettel,Super soft (32),Soft (38),
Kimi Raikkonen,Super soft (33),Soft (37),
Valtteri Bottas,Super soft (30),Soft (40),
Lewis Hamilton,Super soft (31),Soft (39),
Max Verstappen,Super soft (42),Soft (28),
Fernando Alonso,Super soft (35),Soft (35),
Carlos Sainz Jnr,Super soft (35),Soft (34),
Sergio Perez,Super soft (34),Soft (35),
Esteban Ocon,Super soft (35),Soft (34),
Stoffel Vandoorne,Super soft (42),Soft (27),
Kevin Magnussen,Super soft (31),Soft (38),
Daniil Kvyat,Soft (40),Super soft (29),
Jolyon Palmer,Super soft (46),Soft (23),
Lance Stroll,Super soft (29),Soft (40),
Pascal Wehrlein,Super soft (3),Soft (25),Soft (40)
Marcus Ericsson,Super soft (1),Soft (62),Super soft (5)
Nico Hulkenberg,Super soft (45),Soft (22),
Paul di Resta,Soft (34),Super soft (26),
Romain Grosjean,Super soft (20),Soft (0),
Daniel Ricciardo,Super soft (1),,
