Lewis Hamilton,Super soft (25),Soft (26),,
Valtteri Bottas,Soft (32),Super soft (19),,
Kimi Raikkonen,Super soft (24),Soft (25),Super soft (2),
Max Verstappen,Super soft (19),Soft (30),Super soft (2),
Daniel Ricciardo,Super soft (32),Soft (19),,
Nico Hulkenberg,Super soft (24),Soft (27),,
Sebastian Vettel,Super soft (18),Soft (32),Super soft (1),
Esteban Ocon,Super soft (20),Soft (30),,
Sergio Perez,Super soft (23),Soft (27),,
Felipe Massa,Soft (25),Super soft (25),,
Stoffel Vandoorne,Super soft (26),Soft (24),,
Kevin Magnussen,Soft (37),Super soft (13),,
Romain Grosjean,Super soft (23),Soft (20),Super soft (7),
Marcus Ericsson,Soft (28),Super soft (22),,
Daniil Kvyat,Super soft (1),Soft (26),Super soft (23),
Lance Stroll,Soft (22),Super soft (20),Super soft (8),
Pascal Wehrlein,Soft (2),Medium (1),Soft (28),Super soft (19)
Fernando Alonso,Super soft (20),Soft (12),,
