Lewis Hamilton,Wet (7),Intermediate (10),Medium (35),
Nico Rosberg,Wet (7),Intermediate (10),Medium (35),
Max Verstappen,Wet (7),Intermediate (11),Medium (34),
Daniel Ricciardo,Wet (6),Intermediate (11),Medium (35),
Kimi Raikkonen,Wet (5),Intermediate (11),Medium (36),
Sergio Perez,Wet (7),Intermediate (10),Medium (35),
Nico Hulkenberg,Wet (5),Intermediate (12),Medium (35),
Carlos Sainz Jnr,Wet (5),Intermediate (12),Medium (35),
Sebastian Vettel,Wet (5),Intermediate (10),Medium (37),
Daniil Kvyat,Wet (6),Intermediate (10),Medium (36),
Felipe Massa,Wet (6),Intermediate (10),Medium (22),Soft (13)
Jenson Button,Wet (6),Intermediate (11),Medium (34),
Fernando Alonso,Wet (5),Intermediate (12),Medium (22),Medium (12)
Valtteri Bottas,Wet (5),Intermediate (11),Medium (35),
Felipe Nasr,Wet (7),Intermediate (9),Medium (35),
Esteban Gutierrez,Wet (5),Intermediate (12),Medium (34),
Kevin Magnussen,Wet (5),Intermediate (12),Medium (23),Soft (9)
Jolyon Palmer,Wet (6),Intermediate (10),Medium (3),Medium (18)
Rio Haryanto,Wet (6),Intermediate (11),Medium (7),
Romain Grosjean,Wet (5),Intermediate (11),Medium (1),
Marcus Ericsson,Wet (7),Intermediate (3),Intermediate (1),
Pascal Wehrlein,Wet (5),Intermediate (1),,
