Lewis Hamilton,Super soft (22),Soft (31),,
Max Verstappen,Super soft (21),Soft (32),,
Daniel Ricciardo,Super soft (25),Soft (28),,
Valtteri Bottas,Soft (30),Super soft (23),,
Kimi Raikkonen,Soft (28),Super soft (25),,
Esteban Ocon,Super soft (20),Soft (33),,
Sergio Perez,Super soft (21),Soft (32),,
Kevin Magnussen,Super soft (19),Soft (34),,
Romain Grosjean,Super soft (23),Soft (30),,
Felipe Massa,Super soft (17),Soft (35),,
Fernando Alonso,Super soft (25),Soft (27),,
Jolyon Palmer,Soft (39),Super soft (13),,
Pierre Gasly,Super soft (22),Soft (17),Super soft (13),
Stoffel Vandoorne,Super soft (9),Soft (25),Super soft (18),
Pascal Wehrlein,Soft (2),Super soft (1),Soft (22),Soft (26)
Lance Stroll,Super soft (4),Soft (31),Super soft (10),
Nico Hulkenberg,Soft (38),Super soft (2),,
Marcus Ericsson,Soft (7),,,
Sebastian Vettel,Super soft (4),,,
Carlos Sainz Jnr,,,,
