Lewis Hamilton,Ultra soft (7),Soft (21),Soft (27),
Nico Rosberg,Ultra soft (8),Soft (21),Soft (26),
Sebastian Vettel,Ultra soft (8),Soft (29),Super soft (18),
Max Verstappen,Super soft (21),Soft (34),,
Daniel Ricciardo,Super soft (9),Soft (15),Soft (31),
Kimi Raikkonen,Ultra soft (7),Soft (18),Soft (30),
Nico Hulkenberg,Ultra soft (8),Soft (18),Soft (29),
Sergio Perez,Ultra soft (9),Soft (18),Soft (28),
Felipe Massa,Ultra soft (8),Soft (22),Soft (25),
Fernando Alonso,Ultra soft (7),Soft (31),Super soft (17),
Romain Grosjean,Soft (20),Soft (18),Super soft (17),
Esteban Gutierrez,Super soft (8),Soft (20),Soft (27),
Esteban Ocon,Soft (22),Soft (14),Super soft (18),
Pascal Wehrlein,Ultra soft (6),Soft (18),Soft (30),
Marcus Ericsson,Soft (38),Super soft (16),,
Felipe Nasr,Super soft (7),Soft (29),Soft (18),
Jolyon Palmer,Ultra soft (7),Soft (14),Soft (20),Super soft (13)
Carlos Sainz Jnr,Super soft (6),Soft (22),Soft (13),
Daniil Kvyat,Super soft (8),Soft (6),,
Jenson Button,Soft (12),,,
Valtteri Bottas,Ultra soft (6),,,
Kevin Magnussen,Soft (1),Soft (4),,
