Nico Rosberg,Super soft (13),Soft (17),Super soft (9),Soft (18),
Kimi Raikkonen,Super soft (12),Soft (17),Super soft (8),Soft (20),
Lewis Hamilton,Super soft (13),Medium (15),Super soft (13),Soft (16),
Daniel Ricciardo,Super soft (6),Soft (18),Soft (18),Medium (15),
Romain Grosjean,Super soft (11),Super soft (16),Super soft (13),Soft (17),
Max Verstappen,Super soft (10),Soft (16),Medium (20),Super soft (11),
Daniil Kvyat,Soft (16),Soft (18),Super soft (10),Super soft (12),
Felipe Massa,Super soft (7),Medium (22),Medium (27),,
Valtteri Bottas,Super soft (8),Medium (26),Soft (22),,
Stoffel Vandoorne,Super soft (9),Soft (16),Soft (16),Super soft (15),
Kevin Magnussen,Soft (12),Super soft (12),Super soft (14),Super soft (18),
Marcus Ericsson,Soft (13),Soft (16),Medium (27),,
Pascal Wehrlein,Soft (11),Soft (18),Super soft (12),Super soft (15),
Felipe Nasr,Soft (10),Soft (20),Medium (17),Super soft (9),
Nico Hulkenberg,Super soft (1),Soft (15),Medium (19),Super soft (16),Super soft (5)
Sergio Perez,Super soft (2),Super soft (12),Soft (23),Super soft (19),
Rio Haryanto,Soft (12),Soft (19),Medium (13),Super soft (12),
Carlos Sainz Jnr,Soft (2),Medium (18),Soft (9),,
Esteban Gutierrez,Super soft (8),Super soft (1),,,
Jenson Button,Super soft (6),,,,
