Valtteri Bottas,Ultra soft (27),Super soft (25),
Sebastian Vettel,Ultra soft (34),Super soft (18),
Kimi Raikkonen,Ultra soft (29),Super soft (23),
Lewis Hamilton,Ultra soft (30),Super soft (22),
Max Verstappen,Ultra soft (29),Super soft (23),
Sergio Perez,Ultra soft (27),Super soft (25),
Esteban Ocon,Ultra soft (26),Super soft (26),
Nico Hulkenberg,Ultra soft (40),Super soft (12),
Felipe Massa,Ultra soft (21),Super soft (20),Ultra soft (10)
Carlos Sainz Jnr,Ultra soft (24),Super soft (27),
Lance Stroll,Ultra soft (26),Super soft (25),
Daniil Kvyat,Ultra soft (21),Super soft (30),
Kevin Magnussen,Ultra soft (21),Super soft (30),
Stoffel Vandoorne,Super soft (1),Ultra soft (23),Ultra soft (27)
Marcus Ericsson,Super soft (1),Ultra soft (20),Ultra soft (30)
Pascal Wehrlein,Super soft (2),Ultra soft (18),Ultra soft (30)
Daniel Ricciardo,Ultra soft (5),,
