Lewis Hamilton,Wet (31),Ultra soft (47),,
Daniel Ricciardo,Wet (23),Intermediate (9),Super soft (46),
Sergio Perez,Wet (21),Intermediate (9),Soft (48),
Sebastian Vettel,Wet (13),Intermediate (18),Soft (47),
Fernando Alonso,Wet (14),Intermediate (18),Super soft (46),
Nico Hulkenberg,Wet (15),Intermediate (16),Soft (47),
Nico Rosberg,Wet (20),Intermediate (11),Ultra soft (47),
Carlos Sainz Jnr,Wet (21),Intermediate (10),Super soft (46),
Jenson Button,Wet (8),Intermediate (22),Super soft (47),
Felipe Massa,Wet (20),Intermediate (12),Super soft (45),
Valtteri Bottas,Wet (15),Intermediate (15),Super soft (19),Ultra soft (28)
Esteban Gutierrez,Wet (16),Intermediate (16),Ultra soft (45),
Pascal Wehrlein,Wet (31),Ultra soft (45),,
Romain Grosjean,Wet (15),Intermediate (15),Ultra soft (46),
Rio Haryanto,Wet (11),Intermediate (23),Ultra soft (13),Ultra soft (27)
Marcus Ericsson,Wet (11),Intermediate (18),Ultra soft (20),Ultra soft (2)
Felipe Nasr,Wet (8),Intermediate (24),Ultra soft (16),
Max Verstappen,Wet (12),Intermediate (19),Soft (3),
Kevin Magnussen,Wet (7),Intermediate (14),Intermediate (8),Super soft (3)
Daniil Kvyat,Wet (7),Intermediate (11),,
Kimi Raikkonen,Wet (10),,,
Jolyon Palmer,Wet (7),,,
