Lewis Hamilton,Soft (17),Medium (54),
Nico Rosberg,Soft (20),Medium (51),
Max Verstappen,Super soft (12),Medium (59),
Sebastian Vettel,Soft (32),Medium (39),
Daniel Ricciardo,Super soft (1),Medium (49),Soft (21)
Kimi Raikkonen,Soft (20),Medium (25),Medium (26)
Nico Hulkenberg,Super soft (14),Medium (57),
Valtteri Bottas,Super soft (19),Medium (52),
Felipe Massa,Super soft (14),Medium (57),
Sergio Perez,Soft (20),Medium (51),
Marcus Ericsson,Soft (1),Medium (69),
Jenson Button,Soft (17),Medium (53),
Fernando Alonso,Soft (16),Medium (29),Soft (25)
Jolyon Palmer,Super soft (1),Medium (69),
Carlos Sainz Jnr,Super soft (12),Medium (58),
Felipe Nasr,Medium (49),Super soft (21),
Daniil Kvyat,Soft (13),Soft (34),Super soft (23)
Kevin Magnussen,Soft (12),Medium (39),Super soft (19)
Esteban Gutierrez,Soft (12),Medium (36),Soft (22)
Romain Grosjean,Soft (11),Medium (39),Soft (20)
Esteban Ocon,Soft (15),Medium (54),
Pascal Wehrlein,,,
