Nico Rosberg,Super soft (21),Soft (32),
Lewis Hamilton,Super soft (17),Soft (36),
Kimi Raikkonen,Super soft (20),Soft (33),
Valtteri Bottas,Super soft (16),Soft (37),
Felipe Massa,Super soft (18),Soft (28),Super soft (7)
Fernando Alonso,Super soft (21),Soft (31),
Kevin Magnussen,Super soft (16),Soft (36),
Romain Grosjean,Super soft (17),Soft (35),
Sergio Perez,Super soft (1),Soft (26),Soft (25)
Jenson Button,Super soft (20),Soft (32),
Carlos Sainz Jnr,Super soft (11),Soft (41),
Daniel Ricciardo,Super soft (1),Medium (28),Soft (23)
Jolyon Palmer,Super soft (14),Soft (38),
Marcus Ericsson,Soft (1),Super soft (27),Super soft (24)
Daniil Kvyat,Super soft (1),Medium (51),
Felipe Nasr,Super soft (12),Soft (40),
Esteban Gutierrez,Soft (1),Medium (8),Medium (43)
Pascal Wehrlein,Super soft (13),Soft (26),Super soft (12)
Max Verstappen,Super soft (22),Soft (11),
Sebastian Vettel,Super soft (1),,
Nico Hulkenberg,Super soft (1),,
Rio Haryanto,Super soft (1),,
