Lewis Hamilton,Super soft (16),Soft (25),Soft (29),
Nico Rosberg,Super soft (17),Soft (25),Soft (28),
Daniel Ricciardo,Super soft (15),Soft (18),Soft (37),
Sebastian Vettel,Super soft (14),Soft (27),Soft (29),
Max Verstappen,Super soft (16),Soft (22),Soft (32),
Kimi Raikkonen,Soft (29),Super soft (21),Super soft (20),
Fernando Alonso,Super soft (15),Soft (29),Soft (25),
Carlos Sainz Jnr,Super soft (16),Soft (26),Soft (27),
Valtteri Bottas,Super soft (16),Soft (27),Soft (26),
Nico Hulkenberg,Super soft (14),Soft (25),Soft (30),
Sergio Perez,Soft (27),Medium (13),Soft (29),
Esteban Gutierrez,Super soft (15),Soft (22),Soft (32),
Jolyon Palmer,Soft (26),Super soft (13),Soft (30),
Romain Grosjean,Super soft (14),Soft (22),Soft (33),
Kevin Magnussen,Super soft (24),Super soft (12),Soft (33),
Daniil Kvyat,Soft (24),Super soft (22),Super soft (23),
Felipe Nasr,Super soft (11),Soft (28),Soft (30),
Felipe Massa,Soft (25),Medium (40),Super soft (3),
Pascal Wehrlein,Super soft (9),Soft (26),Soft (33),
Marcus Ericsson,Soft (17),Soft (28),Super soft (17),Super soft (6)
Rio Haryanto,Soft (29),Medium (39),,
Jenson Button,Super soft (7),Soft (21),Medium (32),
