Max Verstappen,Ultra soft (32),Super soft (39),
Valtteri Bottas,Ultra soft (32),Super soft (39),
Kimi Raikkonen,Ultra soft (32),Soft (39),
Sebastian Vettel,Ultra soft (1),Soft (31),Ultra soft (39)
Esteban Ocon,Ultra soft (20),Soft (50),
Lance Stroll,Ultra soft (32),Super soft (38),
Sergio Perez,Ultra soft (18),Soft (32),Ultra soft (20)
Kevin Magnussen,Ultra soft (31),Soft (39),
Lewis Hamilton,Ultra soft (1),Soft (30),Super soft (39)
Fernando Alonso,Super soft (32),Ultra soft (38),
Felipe Massa,Ultra soft (3),Soft (67),
Stoffel Vandoorne,Ultra soft (31),Super soft (39),
Pierre Gasly,Ultra soft (31),Super soft (39),
Pascal Wehrlein,Ultra soft (4),Soft (65),
Romain Grosjean,Super soft (31),Soft (31),Ultra soft (7)
Carlos Sainz Jnr,Ultra soft (2),Soft (29),Ultra soft (28)
Marcus Ericsson,Ultra soft (28),Super soft (27),
Brendon Hartley,Ultra soft (30),,
Nico Hulkenberg,Ultra soft (19),Soft (5),
Daniel Ricciardo,Ultra soft (5),,
