Nico Rosberg,Soft (20),Soft (16),Medium (20),,,
Sebastian Vettel,Super soft (4),Super soft (13),Soft (18),Soft (21),,
Daniil Kvyat,Super soft (4),Soft (15),Soft (16),Medium (21),,
Daniel Ricciardo,Super soft (3),Soft (16),Soft (18),Medium (19),,
Kimi Raikkonen,Super soft (1),Soft (13),Medium (23),Soft (19),,
Felipe Massa,Soft (19),Soft (12),Medium (25),,,
Lewis Hamilton,Soft (1),Soft (4),Super soft (1),Soft (15),Soft (9),Medium (26)
Max Verstappen,Super soft (4),Soft (16),Medium (19),Soft (17),,
Carlos Sainz Jnr,Super soft (4),Soft (15),Soft (14),Medium (23),,
Valtteri Bottas,Super soft (4),Soft (17),Soft (9),Medium (26),,
Sergio Perez,Super soft (4),Soft (14),Soft (10),Medium (28),,
Fernando Alonso,Soft (16),Medium (16),Medium (24),,,
Jenson Button,Super soft (4),Medium (23),Medium (17),Super soft (12),,
Esteban Gutierrez,Soft (19),Soft (15),Super soft (9),Super soft (12),,
Nico Hulkenberg,Super soft (4),Soft (13),Soft (9),Medium (20),Super soft (9),
Marcus Ericsson,Soft (4),Medium (24),Medium (27),,,
Kevin Magnussen,Super soft (4),Soft (16),Soft (15),Medium (20),,
Pascal Wehrlein,Soft (15),Soft (12),Soft (16),Super soft (12),,
Romain Grosjean,Soft (1),Soft (19),Soft (13),Super soft (11),Super soft (11),
Felipe Nasr,Soft (1),Medium (19),Medium (20),Soft (15),,
Rio Haryanto,Soft (18),Soft (10),Soft (12),Medium (15),,
Jolyon Palmer,Soft (15),Super soft (9),Soft (14),Medium (17),,
