Sebastian Vettel,Super soft (28),Soft (43),
Valtteri Bottas,Super soft (27),Soft (44),
Kimi Raikkonen,Super soft (29),Soft (42),
Lewis Hamilton,Soft (43),Super soft (28),
Max Verstappen,Super soft (28),Soft (34),Super soft (9)
Daniel Ricciardo,Soft (1),Soft (42),Super soft (28)
Felipe Massa,Super soft (27),Soft (44),
Fernando Alonso,Super soft (28),Soft (43),
Sergio Perez,Super soft (35),Soft (36),
Nico Hulkenberg,Super soft (30),Soft (40),
Carlos Sainz Jnr,Super soft (31),Soft (39),
Pierre Gasly,Soft (44),Super soft (26),
Marcus Ericsson,Soft (44),Super soft (26),
Pascal Wehrlein,Super soft (1),Soft (69),
Romain Grosjean,Super soft (1),Soft (47),Super soft (21)
Lance Stroll,Super soft (28),Soft (39),Super soft (2)
Brendon Hartley,Super soft (27),Soft (13),
Esteban Ocon,Super soft,,
Stoffel Vandoorne,Super soft,,
Kevin Magnussen,Super soft,,
