Lewis Hamilton,Intermediate (29),Ultra soft (29),,,
Daniel Ricciardo,Intermediate (11),Intermediate (17),Ultra soft (30),,
Valtteri Bottas,Intermediate (28),Ultra soft (30),,,
Carlos Sainz Jnr,Intermediate (27),Super soft (31),,,
Sergio Perez,Wet (11),Intermediate (17),Ultra soft (30),,
Jolyon Palmer,Wet (12),Intermediate (17),Ultra soft (29),,
Stoffel Vandoorne,Wet (12),Intermediate (15),Ultra soft (31),,
Lance Stroll,Intermediate (26),Ultra soft (32),,,
Romain Grosjean,Intermediate (27),Ultra soft (31),,,
Esteban Ocon,Wet (11),Intermediate (16),Ultra soft (11),Ultra soft (20),
Felipe Massa,Wet (17),Intermediate (7),Ultra soft (13),Ultra soft (21),
Pascal Wehrlein,Wet (2),Wet (19),Intermediate (7),Ultra soft (9),Ultra soft (19)
Kevin Magnussen,Wet (11),Intermediate (13),Ultra soft (14),Ultra soft (12),
Nico Hulkenberg,Wet (12),Intermediate (16),Ultra soft (10),Ultra soft (10),
Marcus Ericsson,Wet (2),Wet (11),Intermediate (14),Soft (4),Ultra soft (4)
Daniil Kvyat,Intermediate (10),,,,
Fernando Alonso,Wet (8),,,,
Max Verstappen,Intermediate (0),,,,
Sebastian Vettel,Intermediate (0),,,,
Kimi Raikkonen,Intermediate (0),,,,
