,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Lewis Hamilton,Ultra soft,Soft,Soft,,44
1,Max Verstappen,Super soft,Soft,,,33
2,Kimi Raikkonen,Super soft,Soft,,,7
3,Nico Rosberg,Ultra soft,Soft,Super soft,,6
4,Daniel Ricciardo,Super soft,Soft,Ultra soft,,3
5,Jenson Button,Ultra soft,Soft,Soft,,22
6,Romain Grosjean,Super soft,Soft,,,8
7,Carlos Sainz Jnr,Super soft,Soft,Soft,,55
8,Valtteri Bottas,Ultra soft,Soft,Super soft,,77
9,Pascal Wehrlein,Ultra soft,Ultra soft,Soft,,94
10,Esteban Gutierrez,Super soft,Super soft,Soft,,21
11,Jolyon Palmer,Super soft,Soft,Super soft,,30
12,Felipe Nasr,Soft,Super soft,,,12
13,Kevin Magnussen,Super soft,Soft,Super soft,,20
14,Marcus Ericsson,Super soft,Soft,Super soft,,9
15,Rio Haryanto,Soft,Super soft,Super soft,,88
16,Sergio Perez,Ultra soft,Super soft,Soft,,11
17,Fernando Alonso,Super soft,Soft,Soft,,14
18,Nico Hulkenberg,Ultra soft,Super soft,Soft,Ultra soft,27
19,Felipe Massa,Super soft,Soft,Super soft,,19
20,Sebastian Vettel,Super soft,,,,5
21,Daniil Kvyat,Ultra soft,,,,26
